scenario,region,sector,2020,2025,2030,2035,2040,2045,2050,2055,2060
Highcost_DAC,GZ,Electricity generation,31.24129541,35.07222488,35.35944731,35.7016533,27.91529784,10.75330697,3.005787078,0.657756746,0.573167972
Highcost_DAC,GZ,Industry,36.58373132,36.61019959,36.0759449,32.76838057,25.32227658,18.46148589,13.98655428,8.803356243,6.377248916
Highcost_DAC,GZ,Residential,4.991427947,5.046064122,5.225454557,5.244475712,3.796812802,2.772275622,2.206386112,1.295085063,1.198666205
Highcost_DAC,GZ,Transportation,5.592826172,5.828069299,5.913858849,5.886999252,5.611455497,5.255548805,4.982566198,4.246146624,4.108622597
Highcost_DAC,HA,Agricultural,1.280774846,1.222051199,1.184913156,1.101162218,0.909296887,0.744289949,0.575893658,0.360269171,0.276623242
Highcost_DAC,HA,Electricity generation,77.01445313,86.16275658,88.71447217,88.77828487,77.01289357,51.56774084,22.88275787,6.153804363,6.234821446
Highcost_DAC,HA,Industry,65.83869846,65.79302986,67.00618329,62.98125082,46.02543969,37.45388867,31.87807062,23.38690904,18.64985095
Highcost_DAC,HA,Residential,6.758522194,7.720997827,8.462223899,8.824476135,8.386072262,7.809106388,7.419120891,6.0725417,5.974294673
Highcost_DAC,HA,Transportation,10.63276381,10.85354364,10.83135102,10.69038757,10.082693,9.354150729,8.786103719,7.449057757,7.164345332
Highcost_DAC,HB,Agricultural,0.59255094,0.568577344,0.550241807,0.508540184,0.428518541,0.363146463,0.29775886,0.209474333,0.171189075
Highcost_DAC,HB,Electricity generation,32.42896541,36.65258125,38.10606367,38.58705667,33.48739074,22.34054385,9.934782598,2.799729051,2.841799594
Highcost_DAC,HB,Industry,58.02691397,59.93681837,61.73504046,59.13347573,45.789106,37.4738719,31.59029031,23.19086103,17.73322064
Highcost_DAC,HB,Residential,7.078055837,7.906994844,8.419660402,8.671076876,8.000987149,7.000673897,6.339736735,4.874306143,4.577219255
Highcost_DAC,HB,Transportation,12.79127034,12.80627027,12.57763755,12.30241793,11.33034206,10.3472904,9.498369657,7.294960919,6.788001171
Highcost_DAC,HE,Agricultural,0.92842312,0.884954579,0.856389564,0.788404177,0.648545199,0.52909786,0.407474909,0.253570109,0.194448045
Highcost_DAC,HE,Electricity generation,60.79226769,62.97043608,64.04398874,62.66980337,49.96066333,20.23888862,5.7669743,2.630364557,2.730983758
Highcost_DAC,HE,Industry,136.0486382,125.7822316,121.9252385,108.2387485,76.25441026,61.04773012,52.21060934,38.13856657,29.45903949
Highcost_DAC,HE,Residential,11.32878345,13.42200145,15.99806043,17.41657586,15.11879931,13.79591174,12.94250858,9.439110171,9.531443665
Highcost_DAC,HE,Transportation,7.135754774,7.609409961,7.893733093,8.028573249,7.742159576,7.31685388,6.952560274,5.914689527,5.799398803
Highcost_DAC,HI,Agricultural,0.064256845,0.061208959,0.058590976,0.053005224,0.044752645,0.038222726,0.03170876,0.022612911,0.018629697
Highcost_DAC,HI,Electricity generation,7.54327385,8.895739146,9.134103764,9.481400327,7.788562724,3.570856991,1.382855879,0.284310632,0.270961095
Highcost_DAC,HI,Industry,4.485478061,5.17432836,5.747623351,6.098113066,5.816427066,5.392916453,5.015323636,4.389509422,4.020126365
Highcost_DAC,HI,Residential,0.30173354,0.365765348,0.410301179,0.440494781,0.452713026,0.441510882,0.434828404,0.39876864,0.374254989
Highcost_DAC,HI,Transportation,3.059386458,3.619057353,4.04484767,4.307543099,4.268431544,4.039354052,3.798053852,2.699897634,2.533501336
Highcost_DAC,HL,Agricultural,0.879726141,0.840953299,0.81665165,0.758814648,0.634453776,0.529386521,0.422984848,0.281924396,0.225467874
Highcost_DAC,HL,Electricity generation,21.71769308,21.84724005,22.47056441,21.86687952,19.00992947,12.601954,6.217279962,1.363680985,1.331302357
Highcost_DAC,HL,Industry,34.70706148,36.7683759,38.51159629,36.86173029,28.83187343,24.37797478,21.22703022,16.01908152,13.07020935
Highcost_DAC,HL,Residential,3.752013455,4.075806106,4.324977538,4.254799686,3.609569164,3.491530475,3.722896964,3.681639691,3.94066005
Highcost_DAC,HL,Transportation,5.772883373,5.830105348,5.834481276,5.792341656,5.451066178,5.035059117,4.694633619,3.79357479,3.572418578
Highcost_DAC,HN,Agricultural,0.787108087,0.756739932,0.738635865,0.695953523,0.590545306,0.504454666,0.417947944,0.298506877,0.248755624
Highcost_DAC,HN,Electricity generation,22.05587247,24.64769591,25.43356961,25.55494037,22.32359488,15.73577525,7.278152932,1.704158305,1.706919035
Highcost_DAC,HN,Industry,51.96835063,53.84522537,55.63896813,53.51448673,41.0097536,32.92293636,27.0454511,18.74354951,13.69633453
Highcost_DAC,HN,Residential,4.698581909,5.234587078,5.615024883,5.846589982,5.419001501,4.799231633,4.38655853,3.462907893,3.23482343
Highcost_DAC,HN,Transportation,10.03070549,10.62495482,10.90967222,10.97818915,10.50309276,9.879267989,9.365827424,7.716786216,7.435554777
Highcost_DAC,JL,Agricultural,0.53603456,0.512402194,0.494323119,0.452551923,0.378446274,0.317118761,0.255838302,0.174838801,0.140762258
Highcost_DAC,JL,Electricity generation,16.80095168,17.10629621,18.13224218,18.00460834,15.71890204,10.00641486,4.616808169,1.25370628,1.289557535
Highcost_DAC,JL,Industry,34.315228,39.55451962,43.9580541,45.36976423,39.85794714,35.94871904,32.07712736,24.90228579,18.64766592
Highcost_DAC,JL,Residential,3.394011625,4.188637164,4.86316281,5.212503556,4.966491896,4.762185487,4.741429912,4.244244515,4.295781293
Highcost_DAC,JL,Transportation,3.400276906,3.493530626,3.489458443,3.409271376,3.218213386,3.010724992,2.852374223,2.469720539,2.418843778
Highcost_DAC,JS,Agricultural,0.557119803,0.533642561,0.518932627,0.484756617,0.40661334,0.341230366,0.274649898,0.185400656,0.149482348
Highcost_DAC,JS,Electricity generation,122.9873809,131.1807441,129.2059066,128.0514778,109.2020259,61.57269408,22.2365452,6.165916992,6.018783753
Highcost_DAC,JS,Industry,77.54483461,74.00080587,72.43216575,65.03473167,45.61940689,36.59231876,31.37802466,22.95493841,18.1227935
Highcost_DAC,JS,Residential,5.237007959,5.849790902,6.121909145,6.14892404,5.88009635,5.395958662,4.99914012,4.195444298,3.839989166
Highcost_DAC,JS,Transportation,16.71416302,16.30602996,15.71976621,15.15498733,13.73932364,12.35581853,11.11065071,8.311768509,7.610778554
Highcost_DAC,JX,Agricultural,0.68644078,0.660191223,0.644602879,0.607743284,0.516319055,0.441873532,0.367152411,0.263628434,0.220373488
Highcost_DAC,JX,Electricity generation,26.21718139,30.33179313,31.91461596,32.66540368,28.3889412,18.21792449,7.192379549,1.059510488,0.988291389
Highcost_DAC,JX,Industry,31.81024072,32.86670255,33.481949,32.46302755,25.41745892,18.9227771,14.55662658,9.991485411,7.344003313
Highcost_DAC,JX,Residential,2.223859344,2.467334044,2.619631516,2.70027871,2.533464843,2.272316843,2.093370232,1.698838811,1.585037333
Highcost_DAC,JX,Transportation,5.786528399,5.992993971,6.023208154,5.948341851,5.67452791,5.354757272,5.115275662,4.517677073,4.416262267
Highcost_DAC,LN,Agricultural,0.304184391,0.290757047,0.280482711,0.256749433,0.214673106,0.179861425,0.145087351,0.099147506,0.079832547
Highcost_DAC,LN,Electricity generation,36.04331127,36.5269646,37.93857464,37.21461774,32.30352288,20.11547007,8.620637444,2.129250563,2.17817467
Highcost_DAC,LN,Industry,72.20850667,71.86896776,72.77330232,67.97546376,52.38936044,43.83962585,38.21767856,29.0010247,22.87587965
Highcost_DAC,LN,Residential,5.217517407,6.099135843,6.740821795,6.996409724,6.670674976,6.402667866,6.533631166,5.895033237,6.134695901
Highcost_DAC,LN,Transportation,15.92691934,16.19074544,16.12321034,15.88369203,14.70829726,13.48110261,12.27161442,8.815752874,8.269708413
Highcost_DAC,NM,Agricultural,0.385176652,0.365195053,0.351732767,0.320297954,0.258149112,0.204033697,0.149100648,0.083491918,0.059693583
Highcost_DAC,NM,Electricity generation,99.00265153,103.2864506,105.7329498,104.1260144,79.18568084,27.69020403,8.137034435,4.617891009,4.872980132
Highcost_DAC,NM,Industry,78.96015088,76.55802941,76.97228512,70.15745907,47.96846344,38.61565582,31.9729585,21.80895472,18.72503303
Highcost_DAC,NM,Residential,2.320465389,3.15262463,3.920717526,4.426450568,4.194209204,4.02918497,4.169875703,3.603492766,3.915128768
Highcost_DAC,NM,Transportation,5.209824073,5.118826144,4.952232436,4.728419365,4.334893711,3.981202289,3.695387012,3.179613627,3.052686541
Highcost_DAC,NX,Agricultural,0.047463941,0.04467603,0.042649591,0.038036454,0.029811375,0.02256785,0.015340948,0.007326473,0.004644989
Highcost_DAC,NX,Electricity generation,31.1898099,34.59772384,36.63629253,37.14892097,28.75322645,9.180439501,2.913998017,1.770337626,1.779511345
